Category_Technology,Category_Office Supplies,Category_Furniture,City,Sales
0,0,1,washington,832.6981878126439
1,0,0,houston,832.584083842188
0,0,1,los angeles,793.0303244317918
0,0,1,phoenix,876.3872118474352
0,1,0,new york,847.0199640723336
1,0,0,phoenix,892.1509551975712
0,0,1,philadelphia,1005.2233716674972
0,0,1,los angeles,868.7929493279271
0,1,0,new york,751.1597547073452
1,0,0,houston,750.897350776132
0,0,1,san antonio,772.4657207940953
0,1,0,new york,763.205805007005
0,1,0,new york,757.1477967121214
0,0,1,san diego,875.8874287231522
1,0,0,washington,954.9572167169345
0,0,1,charlotte,947.879700813512
1,0,0,fort worth,858.5655608627715
1,0,0,seattle,958.842217837001
1,0,0,washington,876.5326963369553
0,1,0,san jose,947.985449688009
1,0,0,jacksonville,860.3956853316319
0,0,1,new york,773.61046140712
1,0,0,san jose,867.9833861872571
1,0,0,,872.7294371260796
1,0,0,chicago,810.2679238321455
1,0,0,denver,796.5598433755159
1,0,0,dallas,929.7159708200912
1,0,0,san jose,881.8949187663285
1,0,0,denver,864.177923624866
1,0,0,charlotte,
0,0,1,seattle,852.6065574165815
0,0,1,columbus,899.2051234372988
1,0,0,chicago,830.7154348194558
1,0,0,los angeles,972.2474243549176
1,0,0,new york,792.9897471926474
0,1,0,seattle,830.5370518533232
1,0,0,dallas,951.8186689435554
0,1,0,fort worth,562.2974957619883
0,0,1,los angeles,851.2303537434959
0,0,1,san antonio,860.1634677541957
0,1,0,charlotte,874.5924254602721
0,1,0,denver,844.577896049505
1,0,0,san francisco,860.8184566835712
1,0,0,austin,902.7745734910256
1,0,0,new york,884.9561341379588
1,0,0,san antonio,972.2156720653004
1,0,0,washington,896.931744155241
0,1,0,san diego,821.7160998415527
1,0,0,san jose,956.5384498593916
1,0,0,phoenix,858.6534835509382
0,1,0,dallas,807.2931264308605
1,0,0,new york,916.2670291479292
0,1,0,los angeles,768.3833215923366
1,0,0,denver,835.7640066603543
0,0,1,columbus,777.5885489519758
1,0,0,washington,912.4061736394648
1,0,0,san jose,949.7066859652812
0,0,1,dallas,820.5347666338995
0,0,1,san jose,949.4632058171964
0,1,0,philadelphia,889.3487026714729
0,1,0,indianapolis,792.1640567383513
0,1,0,philadelphia,881.7418653017749
0,0,1,houston,810.855916756135
0,1,0,washington,778.3818927182127
0,0,1,chicago,844.6457879674505
1,0,0,denver,
1,0,0,seattle,836.7646019626974
0,0,1,houston,771.1402874357384
1,0,0,san diego,909.8320868249002
1,0,0,indianapolis,886.5909128247774
1,0,0,phoenix,1038.8711681413122
1,0,0,fort worth,824.3388484183349
0,0,1,new york,874.9325837690094
1,0,0,fort worth,836.5526743859785
0,0,1,houston,869.5258417822328
1,0,0,columbus,975.6171965898476
1,0,0,chicago,784.5993153185668
1,0,0,phoenix,942.6833217146316
0,0,1,san antonio,748.4877658991226
1,0,0,,796.5081987720447
0,1,0,jacksonville,712.6237379873148
1,0,0,austin,993.2032987405644
0,0,1,san diego,891.8491822163552
